label,run_group,frames,returned,delivery_pct,payload_p50_kib,payload_p95_kib,front_build_p50_ms,front_build_p95_ms,uplink_p50_ms,uplink_p95_ms,capture_to_result_p50_ms,capture_to_result_p95_ms,edge_tail_p50_ms,downlink_p50_ms,rtt_p50_ms,send_call_p50_ms,ul_scheduled_mbps,ul_mcs_avg,ul_mcs_p50,ul_mcs_p95,ul_prb_p50,ul_prb_p95,ul_avg_tbs_bytes,ul_p95_tbs_bytes,ul_retx_rate
P0_old,downlink_oai_default106_ttracer_fps10_drivable_fast_timingfix_20260731_default106_noae,1300,1194,91.84615384615384,1046.03955078125,1072.735791015625,57.01276697800495,89.25337385735475,144.84786987304688,157.8336000442505,215.05973697640002,256.23543116671493,7.383342977846041,3.18410198087804,156.81591900647618,5.344207980670035,20.571037,7.249566,7.0,13.0,106.0,106.0,1381.850459,3521.0,0.0
P0_current,downlink_oai_default106_ttracer_fps10_track2_vanilla_current_20260801_default106_noae,1300,1207,92.84615384615384,1046.55419921875,1072.447607421875,55.710292479489006,88.69977273861878,142.472505569458,157.1605682373047,209.48209398193285,252.32069959747605,7.033981964923441,3.051812993362546,153.54659699369222,5.362251977203414,21.534813,7.370037,7.0,13.0,106.0,106.0,1402.398739,3521.0,0.0
P2_holdfew,downlink_oai_default106_ttracer_fps10_track2_holdfew_20260801_default106_noae,1300,1196,92.0,1048.97900390625,1071.982763671875,56.37778399977833,93.67816682497504,37.53101825714111,44.031500816345215,105.24379051639698,148.6605507088825,7.539884973084554,2.2667190060019493,48.31841599661857,5.405003525083885,27.589433,27.728679,28.0,28.0,106.0,106.0,6132.080069,10247.0,0.0
