time,direction,rnti,frame,diff,old_mcs,new_mcs,max_mcs_input,max_mcs_applied,min_mcs,opt_max_mcs,num_sched,num_retx,bler_window_ppm,bler_before_ppm,bler_after_ppm,lower_ppm,upper_ppm,branch,updated
21:19:06.427221,0,3836,628,100,0,0,28,28,0,28,3,0,0,4239,3815,50000,150000,3,1
21:19:06.446904,0,960,630,100,0,0,28,28,0,28,1,0,0,5814,5233,50000,150000,3,1
21:19:07.449994,0,3836,728,100,0,0,28,28,0,28,1,1,1000000,3815,103433,50000,150000,3,1
21:19:07.470535,0,960,730,100,0,0,28,28,0,28,1,1,1000000,5233,104710,50000,150000,3,1
21:19:08.477817,0,3836,828,100,0,0,28,28,0,28,1,1,1000000,103433,193090,50000,150000,3,1
21:19:08.527314,0,960,830,100,0,0,28,28,0,28,1,1,1000000,104710,194239,50000,150000,3,1
21:19:09.515543,0,3836,928,100,0,0,28,28,0,28,1,1,1000000,193090,273781,50000,150000,3,1
21:19:09.535670,0,960,930,100,0,0,28,28,0,28,1,1,1000000,194239,274815,50000,150000,3,1
21:19:10.556706,0,3836,4,100,0,0,28,28,0,28,1,1,1000000,273781,346403,50000,150000,3,1
21:19:10.576093,0,960,6,100,0,0,28,28,0,28,1,1,1000000,274815,347333,50000,150000,3,1
21:19:11.662940,0,3836,104,100,0,0,28,28,0,28,1,1,1000000,346403,411762,50000,150000,3,1
21:19:11.686407,0,960,106,100,0,0,28,28,0,28,1,1,1000000,347333,412600,50000,150000,3,1
21:19:12.871249,0,3836,204,100,0,0,28,28,0,28,1,1,1000000,411762,470586,50000,150000,3,1
21:19:12.894650,0,960,206,100,0,0,28,28,0,28,1,1,1000000,412600,471340,50000,150000,3,1
21:19:14.049829,0,3836,304,100,0,0,28,28,0,28,1,1,1000000,470586,523527,50000,150000,3,1
21:19:14.072315,0,960,306,100,0,0,28,28,0,28,1,1,1000000,471340,524206,50000,150000,3,1
21:19:15.226714,0,3836,404,100,0,0,28,28,0,28,1,1,1000000,523527,571175,50000,150000,3,1
21:19:15.249275,0,960,406,100,0,0,28,28,0,28,1,1,1000000,524206,571785,50000,150000,3,1
21:19:16.385642,0,3836,504,100,0,0,28,28,0,28,1,1,1000000,571175,614057,50000,150000,3,1
21:19:16.408402,0,960,506,100,0,0,28,28,0,28,1,1,1000000,571785,614607,50000,150000,3,1
21:19:16.695422,0,3836,531,27,0,0,28,28,0,28,1,1,1000000,614057,652651,50000,150000,3,1
21:19:16.752875,0,3836,536,5,0,0,28,28,0,28,-1,-1,-1,652651,652651,50000,150000,0,0
21:19:16.781028,0,3836,538,7,0,0,28,28,0,28,-1,-1,-1,652651,652651,50000,150000,0,0
21:19:16.838018,0,3836,543,12,0,0,28,28,0,28,3,3,1000000,652651,687386,50000,150000,3,1
21:19:16.894805,0,3836,548,5,0,0,28,28,0,28,-1,-1,-1,687386,687386,50000,150000,0,0
21:19:16.956310,0,3836,554,11,0,0,28,28,0,28,2,2,1000000,687386,718648,50000,150000,3,1
21:19:17.014061,0,3836,559,5,0,0,28,28,0,28,-1,-1,-1,718648,718648,50000,150000,0,0
21:19:17.075881,0,3836,564,10,0,0,28,28,0,28,2,2,1000000,718648,746783,50000,150000,3,1
21:19:17.104152,0,3836,567,3,0,0,28,28,0,28,-1,-1,-1,746783,746783,50000,150000,0,0
21:19:17.132710,0,3836,569,5,0,0,28,28,0,28,-1,-1,-1,746783,746783,50000,150000,0,0
21:19:17.150926,0,3836,571,7,0,0,28,28,0,28,-1,-1,-1,746783,746783,50000,150000,0,0
21:19:17.519040,0,3836,604,40,0,0,28,28,0,28,4,4,1000000,746783,772104,50000,150000,2,1
21:19:17.541660,0,960,606,100,0,0,28,28,0,28,1,1,1000000,614607,653146,50000,150000,3,1
21:19:17.556411,0,960,607,1,0,0,28,28,0,28,-1,-1,-1,653146,653146,50000,150000,0,0
21:19:17.583267,0,960,609,3,0,0,28,28,0,28,-1,-1,-1,653146,653146,50000,150000,0,0
21:19:17.611431,0,960,612,6,0,0,28,28,0,28,-1,-1,-1,653146,653146,50000,150000,0,0
21:19:17.639730,0,960,614,8,0,0,28,28,0,28,-1,-1,-1,653146,653146,50000,150000,0,0
21:19:17.668074,0,960,617,11,0,0,28,28,0,28,5,5,1000000,653146,687831,50000,150000,2,1
21:19:17.725121,0,960,622,5,0,0,28,28,0,28,-1,-1,-1,687831,687831,50000,150000,0,0
21:19:17.782102,0,960,627,10,0,0,28,28,0,28,2,1,500000,687831,669048,50000,150000,3,1
21:19:17.809120,0,960,629,2,0,0,28,28,0,28,-1,-1,-1,669048,669048,50000,150000,0,0
21:19:17.837237,0,960,632,5,0,0,28,28,0,28,-1,-1,-1,669048,669048,50000,150000,0,0
21:19:17.865409,0,960,634,7,0,0,28,28,0,28,-1,-1,-1,669048,669048,50000,150000,0,0
21:19:17.893539,0,960,637,10,0,0,28,28,0,28,4,4,1000000,669048,702143,50000,150000,2,1
21:19:17.922065,0,960,639,2,0,0,28,28,0,28,-1,-1,-1,702143,702143,50000,150000,0,0
